t_rel,PV,MV_pct
206.5,39.1,35.0234375
208.8,39.2,35.0234375
211.0,39.300000000000004,0.0
213.3,39.300000000000004,0.0
215.5,39.300000000000004,0.0
217.8,39.400000000000006,0.0
220.0,39.400000000000006,0.0
222.3,39.5,0.0
224.5,39.400000000000006,0.0
226.8,39.5,0.0
229.0,39.400000000000006,0.0
231.3,39.5,0.0
233.5,39.5,0.0
235.8,39.5,11.65234375
238.0,39.6,11.65234375
240.3,39.6,0.0
242.6,39.6,0.0
244.8,39.5,0.0
247.1,39.5,19.25
249.3,39.7,19.25
251.6,39.6,0.0
253.8,39.6,0.0
256.1,39.800000000000004,1.2578125
258.3,39.7,1.2578125
260.5,39.800000000000004,0.0
262.8,39.800000000000004,0.0
265.0,39.800000000000004,0.0
267.3,39.800000000000004,0.0
269.5,39.7,0.0
271.8,39.7,14.328125
274.0,39.900000000000006,14.328125
276.3,39.7,0.0
278.5,39.900000000000006,0.0
280.8,39.800000000000004,0.0
283.0,40.0,0.0
285.3,39.900000000000006,0.0
287.5,39.900000000000006,0.0
289.8,39.900000000000006,0.0
292.0,40.0,0.0
294.3,40.1,0.0
296.5,40.0,0.0
298.8,40.0,0.0
301.0,40.0,0.0
303.3,40.1,0.0
305.5,39.900000000000006,0.0
307.8,40.0,15.34375
310.0,40.1,15.34375
312.3,40.0,0.0
314.5,40.0,25.39453125
316.8,40.0,25.39453125
319.0,40.0,0.0
321.2,39.900000000000006,0.0
323.5,40.0,30.8359375
325.7,40.0,30.8359375
328.0,40.0,0.98828125
330.2,40.1,0.98828125
332.5,40.0,0.0
334.7,39.900000000000006,0.0
336.9,40.1,0.0
339.2,40.2,0.0
341.5,40.1,0.0
343.7,40.1,0.0
346.0,40.1,0.0
348.2,40.0,0.0
350.5,39.900000000000006,0.0
352.7,40.0,65.2421875
355.0,40.1,41.21875
357.3,40.0,41.21875
359.5,40.0,17.5859375
361.7,40.1,17.5859375
364.0,40.1,0.0
366.2,40.0,0.0
368.5,40.1,0.0
370.7,40.0,0.0
373.0,40.0,0.0
375.2,40.2,0.0
377.5,40.1,0.0
379.7,40.0,18.53515625
382.0,40.0,18.53515625
384.2,40.0,28.203125
386.5,40.0,28.203125
388.7,40.1,28.95703125
391.0,40.1,0.0
393.2,40.0,0.0
395.5,40.0,13.12109375
397.7,40.1,13.12109375
400.0,40.0,21.87109375
402.2,40.0,21.87109375
404.5,40.0,24.6328125
406.7,40.0,22.8828125
409.0,40.0,22.8828125
411.2,40.1,19.265625
413.5,40.1,19.265625
415.7,40.2,0.0
417.9,40.1,0.0
420.2,40.0,0.0
422.5,40.1,0.0
424.7,40.1,0.0
426.9,40.2,0.0
429.2,40.1,0.0
431.4,40.0,27.74609375
433.7,40.0,27.74609375
436.0,40.1,38.96875
438.2,40.0,38.96875
440.5,40.0,36.30078125
442.7,40.0,26.7890625
445.0,40.1,26.7890625
447.2,40.0,17.19140625
449.5,40.0,17.19140625
451.7,40.0,11.37890625
454.0,39.900000000000006,11.37890625
456.2,40.0,53.91015625
458.4,40.0,53.91015625
460.7,40.0,21.48828125
462.9,40.0,0.96875
465.2,40.0,0.96875
467.4,40.1,0.0
469.7,40.0,0.0
471.9,40.0,45.48828125
474.2,40.1,45.48828125
476.4,40.0,0.0
478.7,39.900000000000006,0.0
480.9,40.0,0.0
483.2,40.0,4.4609375
485.5,40.0,4.4609375
487.7,40.0,11.74609375
490.0,40.1,11.74609375
492.3,40.0,0.0
494.5,40.1,0.0
496.8,40.1,0.0
499.0,40.0,22.30859375
501.3,39.900000000000006,22.30859375
503.5,40.1,76.47265625
505.8,40.1,76.47265625
508.0,40.0,0.0
510.3,40.0,0.0
512.5,40.0,2.5
514.8,40.0,0.0
517.0,40.0,0.0
519.3,40.0,0.0
521.5,40.0,0.0
523.8,40.1,19.85546875
526.0,40.2,19.85546875
528.3,40.1,0.0
530.6,40.1,0.0
